REF_DATE,Airlines,passengers,pax_km,seat_km,load_factor_pct,fuel_litres,hours_flown,cargo_kg,cargo_tkm
2010-01-01,Air Canada,1814000.0,5781705000.0,7327456000.0,78.9,265571000.0,65000.0,17969000.0,112798000.0
2010-01-01,WestJet,1188000.0,1998100000.0,2538280000.0,78.7,78197000.0,30000.0,343000.0,579000.0
2010-02-01,Air Canada,1733000.0,5352969000.0,6727937000.0,79.6,245341000.0,60000.0,18241000.0,114049000.0
2010-02-01,WestJet,1162000.0,1932838000.0,2348658000.0,82.3,72572000.0,28000.0,332000.0,555000.0
2010-03-01,Air Canada,2021000.0,6311269000.0,7564472000.0,83.4,273473000.0,66000.0,22418000.0,139184000.0
2010-03-01,WestJet,1311000.0,2184586000.0,2608893000.0,83.7,79699000.0,30000.0,393000.0,657000.0
2010-04-01,Air Canada,1868000.0,5747590000.0,6850977000.0,83.9,251530000.0,60000.0,18335000.0,113852000.0
2010-04-01,WestJet,1281000.0,2135625000.0,2544567000.0,83.9,77687000.0,29000.0,399000.0,667000.0
2010-05-01,Air Canada,1942000.0,6310322000.0,7552593000.0,83.6,276208000.0,65000.0,20563000.0,131128000.0
2010-05-01,WestJet,1242000.0,2015098000.0,2598501000.0,77.5,78541000.0,30000.0,406000.0,663000.0
2010-06-01,Air Canada,2104000.0,7180977000.0,8336407000.0,86.1,300930000.0,69000.0,21187000.0,133898000.0
2010-06-01,WestJet,1212000.0,1954068000.0,2504765000.0,78.0,75903000.0,29000.0,451000.0,731000.0
2010-07-01,Air Canada,2334000.0,8101146000.0,9390527000.0,86.3,333814000.0,78000.0,22776000.0,144843000.0
2010-07-01,WestJet,1350000.0,2235102000.0,2773551000.0,80.6,84235000.0,31000.0,435000.0,723000.0
2010-08-01,Air Canada,2404000.0,8276719000.0,9380963000.0,88.2,338108000.0,78000.0,22400000.0,140565000.0
2010-08-01,WestJet,1391000.0,2292356000.0,2793598000.0,82.1,84621000.0,32000.0,434000.0,717000.0
2010-09-01,Air Canada,1997000.0,6995493000.0,8362396000.0,83.7,306079000.0,69000.0,21265000.0,122789000.0
2010-09-01,WestJet,1168000.0,1862414000.0,2471620000.0,75.4,76267000.0,28000.0,461000.0,738000.0
2010-10-01,Air Canada,1885000.0,6252841000.0,7669437000.0,81.5,263968000.0,64000.0,21898000.0,136377000.0
2010-10-01,WestJet,1239000.0,1975693000.0,2557764000.0,77.2,76978000.0,29000.0,501000.0,802000.0
2010-11-01,Air Canada,1612000.0,5006309000.0,6620463000.0,75.6,241036000.0,58000.0,20505000.0,128447000.0
2010-11-01,WestJet,1222000.0,2064718000.0,2658219000.0,77.7,80114000.0,31000.0,527000.0,890000.0
2010-12-01,Air Canada,1901000.0,6142454000.0,7475142000.0,82.2,281964000.0,65000.0,20362000.0,128008000.0
2010-12-01,WestJet,1332000.0,2279210000.0,2840682000.0,80.2,85530000.0,33000.0,498000.0,852000.0
2011-01-01,Air Canada,1896000.0,6289567000.0,7934502000.0,79.3,285011000.0,70000.0,18850000.0,117565000.0
2011-01-01,WestJet,1243000.0,2202123000.0,2833739000.0,77.7,86180000.0,33000.0,412000.0,730000.0
2011-02-01,Air Canada,1755000.0,5513041000.0,7204467000.0,76.5,258312000.0,64000.0,20129000.0,123500000.0
2011-02-01,WestJet,1238000.0,2174135000.0,2606071000.0,83.4,79289000.0,30000.0,407000.0,718000.0
2011-03-01,Air Canada,2039000.0,6530769000.0,8126315000.0,80.4,291608000.0,71000.0,22647000.0,138710000.0
2011-03-01,WestJet,1406000.0,2492454000.0,2941572000.0,84.7,92224000.0,33000.0,495000.0,879000.0
2011-04-01,Air Canada,1976000.0,6411097000.0,7722436000.0,83.0,283510000.0,66000.0,20170000.0,124440000.0
2011-04-01,WestJet,1355000.0,2392939000.0,2864143000.0,83.5,87867000.0,32000.0,464000.0,880000.0
2011-05-01,Air Canada,1989000.0,6602012000.0,7896723000.0,83.6,283424000.0,67000.0,19979000.0,120334000.0
2011-05-01,WestJet,1295000.0,2086831000.0,2792102000.0,74.7,83710000.0,32000.0,542000.0,1079000.0
2011-06-01,Air Canada,2116000.0,7338295000.0,8571133000.0,85.6,310574000.0,71000.0,19221000.0,116828000.0
